Group (L0),Level,Is Basic,New Primary Hierarchy,New Primary Category,New Display Name,Basic Level Category,Old Primary Hierarchy,Old Primary Category,Added,Renamed,Removed,Redirect To
education,3,FALSE,education > place_of_learning > specialty_school > drama_school,drama_school,Drama School,specialty_school,education > specialty_school > drama_school,drama_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > driving_school,driving_school,Driving School,specialty_school,education > specialty_school > driving_school,driving_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > dui_school,dui_school,DUI School,specialty_school,education > specialty_school > dui_school,dui_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > firearm_training,firearm_training,Firearm Training,specialty_school,education > specialty_school > firearm_training,firearm_training,,,,
education,3,FALSE,education > place_of_learning > specialty_school > first_aid_class,first_aid_class,First Aid Class,specialty_school,education > specialty_school > first_aid_class,first_aid_class,,,,
education,3,FALSE,education > place_of_learning > specialty_school > flight_school,flight_school,Flight School,specialty_school,education > specialty_school > flight_school,flight_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > food_safety_training,food_safety_training,Food Safety Training,specialty_school,education > specialty_school > food_safety_training,food_safety_training,,,,
education,3,FALSE,education > place_of_learning > specialty_school > language_school,language_school,Language School,specialty_school,education > specialty_school > language_school,language_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > massage_school,massage_school,Massage School,specialty_school,education > specialty_school > massage_school,massage_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > medical_school,medical_school,Medical School,specialty_school,education > specialty_school > medical_school,medical_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > music_school,music_school,Music School,specialty_school,education > specialty_school > music_school,music_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > nursing_school,nursing_school,Nursing School,specialty_school,education > specialty_school > nursing_school,nursing_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > parenting_class,parenting_class,Parenting Class,specialty_school,education > specialty_school > parenting_class,parenting_class,,,,
education,3,FALSE,education > place_of_learning > specialty_school > photography_class,photography_class,Photography Class,specialty_school,education > specialty_school > photography_class,photography_class,,,,
education,3,FALSE,education > place_of_learning > specialty_school > speech_training,speech_training,Speech Training,specialty_school,education > specialty_school > speech_training,speech_training,,,,
education,3,FALSE,education > place_of_learning > specialty_school > sports_school,sports_school,Sports School,specialty_school,education > specialty_school > sports_school,sports_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > traffic_school,traffic_school,Traffic School,specialty_school,education > specialty_school > traffic_school,traffic_school,,,,
education,3,FALSE,education > place_of_learning > specialty_school > vocational_and_technical_school,vocational_and_technical_school,Vocational and Technical School,specialty_school,education > specialty_school > vocational_and_technical_school,vocational_and_technical_school,,,,
education,1,TRUE,education > research_institute,research_institute,Research Institute,research_institute,services_and_business > business_to_business > b2b_science_and_technology > research_institute,research_institute,,,,
education,2,FALSE,education > research_institute > educational_research_institute,educational_research_institute,Educational Research Institute,research_institute,education > educational_research_institute,educational_research_institute,,,,
education,2,FALSE,education > research_institute > medical_research_institute,medical_research_institute,Medical Research Institute,research_institute,services_and_business > business_to_business > b2b_medical_support_service > medical_research_and_development,medical_research_and_development,,TRUE,,
food_and_drink,0,FALSE,food_and_drink,food_and_drink,Food and Drink,,food_and_drink,food_and_drink,,,,
food_and_drink,1,TRUE,food_and_drink > alcoholic_beverage_venue,alcoholic_beverage_venue,Alcoholic Beverage Venue,alcoholic_beverage_venue,,,TRUE,,,
food_and_drink,2,TRUE,food_and_drink > alcoholic_beverage_venue > bar,bar,Bar,bar,food_and_drink > bar,bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > bar_tabac,bar_tabac,Bar Tabac,bar,food_and_drink > bar > bar_tabac,bar_tabac,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > beach_bar,beach_bar,Beach Bar,bar,food_and_drink > bar > beach_bar,beach_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > beer_bar,beer_bar,Beer Bar,bar,food_and_drink > bar > beer_bar,beer_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > champagne_bar,champagne_bar,Champagne Bar,bar,food_and_drink > bar > champagne_bar,champagne_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > cigar_bar,cigar_bar,Cigar Bar,bar,food_and_drink > bar > cigar_bar,cigar_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > cocktail_bar,cocktail_bar,Cocktail Bar,bar,food_and_drink > bar > cocktail_bar,cocktail_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > dive_bar,dive_bar,Dive Bar,bar,food_and_drink > bar > dive_bar,dive_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > drive_thru_bar,drive_thru_bar,Drive Thru Bar,bar,food_and_drink > bar > drive_thru_bar,drive_thru_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > gay_bar,gay_bar,Gay Bar,bar,food_and_drink > bar > gay_bar,gay_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > hookah_bar,hookah_bar,Hookah Bar,bar,food_and_drink > bar > hookah_bar,hookah_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > hotel_bar,hotel_bar,Hotel Bar,bar,food_and_drink > bar > hotel_bar,hotel_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > piano_bar,piano_bar,Piano Bar,bar,food_and_drink > bar > piano_bar,piano_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > pub,pub,Pub,bar,food_and_drink > bar > pub,pub,,,,
food_and_drink,4,FALSE,food_and_drink > alcoholic_beverage_venue > bar > pub > irish_pub,irish_pub,Irish Pub,bar,food_and_drink > bar > pub > irish_pub,irish_pub,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > sake_bar,sake_bar,Sake Bar,bar,food_and_drink > bar > sake_bar,sake_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > speakeasy,speakeasy,Speakeasy,bar,food_and_drink > bar > speakeasy,speakeasy,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > sports_bar,sports_bar,Sports Bar,bar,food_and_drink > bar > sports_bar,sports_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > tiki_bar,tiki_bar,Tiki Bar,bar,food_and_drink > bar > tiki_bar,tiki_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > vermouth_bar,vermouth_bar,Vermouth Bar,bar,food_and_drink > bar > vermouth_bar,vermouth_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > whiskey_bar,whiskey_bar,Whiskey Bar,bar,food_and_drink > bar > whiskey_bar,whiskey_bar,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > bar > wine_bar,wine_bar,Wine Bar,bar,food_and_drink > bar > wine_bar,wine_bar,,,,
food_and_drink,2,FALSE,food_and_drink > alcoholic_beverage_venue > beer_garden,beer_garden,Beer Garden,alcoholic_beverage_venue,food_and_drink > brewery_winery_distillery > beer_garden,beer_garden,,,,
food_and_drink,2,TRUE,food_and_drink > alcoholic_beverage_venue > brewery,brewery,Brewery,brewery,food_and_drink > brewery_winery_distillery > brewery,brewery,,,,
food_and_drink,2,FALSE,food_and_drink > alcoholic_beverage_venue > brewery_winery_distillery,brewery_winery_distillery,Brewery Winery Distillery,alcoholic_beverage_venue,food_and_drink > brewery_winery_distillery,brewery_winery_distillery,,,TRUE,alcoholic_beverage_venue
food_and_drink,2,FALSE,food_and_drink > alcoholic_beverage_venue > cidery,cidery,Cidery,alcoholic_beverage_venue,food_and_drink > brewery_winery_distillery > cidery,cidery,,,,
food_and_drink,2,TRUE,food_and_drink > alcoholic_beverage_venue > distillery,distillery,Distillery,distillery,food_and_drink > brewery_winery_distillery > distillery,distillery,,,,
food_and_drink,2,TRUE,food_and_drink > alcoholic_beverage_venue > lounge,lounge,Lounge,lounge,food_and_drink > lounge,lounge,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > lounge > airport_lounge,airport_lounge,Airport Lounge,lounge,food_and_drink > lounge > airport_lounge,airport_lounge,,,,
food_and_drink,2,TRUE,food_and_drink > alcoholic_beverage_venue > winery,winery,Winery,winery,food_and_drink > brewery_winery_distillery > winery,winery,,,,
food_and_drink,3,FALSE,food_and_drink > alcoholic_beverage_venue > winery > wine_tasting_room,wine_tasting_room,Wine Tasting Room,winery,food_and_drink > brewery_winery_distillery > winery > wine_tasting_room,wine_tasting_room,,,,
food_and_drink,1,TRUE,food_and_drink > casual_eatery,casual_eatery,Casual Eatery,casual_eatery,food_and_drink > casual_eatery,casual_eatery,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > bagel_shop,bagel_shop,Bagel Shop,casual_eatery,food_and_drink > casual_eatery > bagel_shop,bagel_shop,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > bakery,bakery,Bakery,casual_eatery,food_and_drink > casual_eatery > bakery,bakery,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > bakery > baguette_shop,baguette_shop,Baguette Shop,casual_eatery,food_and_drink > casual_eatery > bakery > baguette_shop,baguette_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > bakery > flatbread_shop,flatbread_shop,Flatbread Shop,casual_eatery,food_and_drink > casual_eatery > bakery > flatbread_shop,flatbread_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > bakery > macaron_shop,macaron_shop,Macaron Shop,casual_eatery,food_and_drink > casual_eatery > bakery > macaron_shop,macaron_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > bakery > pretzel_shop,pretzel_shop,Pretzel Shop,casual_eatery,food_and_drink > casual_eatery > bakery > pretzel_shop,pretzel_shop,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > bistro,bistro,Bistro,casual_eatery,food_and_drink > casual_eatery > bistro,bistro,,,,
food_and_drink,2,TRUE,food_and_drink > casual_eatery > cafe,cafe,Cafe,cafe,food_and_drink > casual_eatery > cafe,cafe,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > cafe > animal_cafe,animal_cafe,Animal Cafe,cafe,food_and_drink > casual_eatery > cafe > animal_cafe,animal_cafe,,,,
food_and_drink,4,FALSE,food_and_drink > casual_eatery > cafe > animal_cafe > cat_cafe,cat_cafe,Cat Cafe,cafe,food_and_drink > casual_eatery > cafe > animal_cafe > cat_cafe,cat_cafe,,,,
food_and_drink,4,FALSE,food_and_drink > casual_eatery > cafe > animal_cafe > dog_cafe,dog_cafe,Dog Cafe,cafe,food_and_drink > casual_eatery > cafe > animal_cafe > dog_cafe,dog_cafe,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > cafe > hong_kong_style_cafe,hong_kong_style_cafe,Hong Kong Style Cafe,cafe,food_and_drink > casual_eatery > cafe > hong_kong_style_cafe,hong_kong_style_cafe,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > cafe > internet_cafe,internet_cafe,Internet Cafe,cafe,food_and_drink > casual_eatery > cafe > internet_cafe,internet_cafe,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > candy_store,candy_store,Candy Store,casual_eatery,food_and_drink > casual_eatery > candy_store,candy_store,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > candy_store > chocolatier,chocolatier,Chocolatier,casual_eatery,food_and_drink > casual_eatery > candy_store > chocolatier,chocolatier,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > candy_store > indian_sweets_shop,indian_sweets_shop,Indian Sweets Shop,casual_eatery,food_and_drink > casual_eatery > candy_store > indian_sweets_shop,indian_sweets_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > candy_store > japanese_confectionery_shop,japanese_confectionery_shop,Japanese Confectionery Shop,casual_eatery,food_and_drink > casual_eatery > candy_store > japanese_confectionery_shop,japanese_confectionery_shop,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > canteen,canteen,Canteen,casual_eatery,food_and_drink > casual_eatery > canteen,canteen,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > delicatessen,delicatessen,Delicatessen,casual_eatery,food_and_drink > casual_eatery > delicatessen,delicatessen,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > dessert_shop,dessert_shop,Dessert Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop,dessert_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > dessert_shop > cupcake_shop,cupcake_shop,Cupcake Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop > cupcake_shop,cupcake_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > dessert_shop > donut_shop,donut_shop,Donut Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop > donut_shop,donut_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > dessert_shop > frozen_yogurt_shop,frozen_yogurt_shop,Frozen Yogurt Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop > frozen_yogurt_shop,frozen_yogurt_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > dessert_shop > gelato_shop,gelato_shop,Gelato Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop > gelato_shop,gelato_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > dessert_shop > ice_cream_shop,ice_cream_shop,Ice Cream Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop > ice_cream_shop,ice_cream_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > dessert_shop > pie_shop,pie_shop,Pie Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop > pie_shop,pie_shop,,,,
food_and_drink,3,FALSE,food_and_drink > casual_eatery > dessert_shop > shaved_ice_shop,shaved_ice_shop,Shaved Ice Shop,casual_eatery,food_and_drink > casual_eatery > dessert_shop > shaved_ice_shop,shaved_ice_shop,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > diner,diner,Diner,casual_eatery,food_and_drink > casual_eatery > diner,diner,,,,
food_and_drink,2,TRUE,food_and_drink > casual_eatery > fast_food_restaurant,fast_food_restaurant,Fast Food Restaurant,fast_food_restaurant,food_and_drink > casual_eatery > fast_food_restaurant,fast_food_restaurant,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > fondue_restaurant,fondue_restaurant,Fondue Restaurant,casual_eatery,food_and_drink > casual_eatery > fondue_restaurant,fondue_restaurant,,,,
food_and_drink,2,TRUE,food_and_drink > casual_eatery > food_court,food_court,Food Court,food_court,food_and_drink > casual_eatery > food_court,food_court,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > food_stand,food_stand,Food Stand,casual_eatery,food_and_drink > casual_eatery > food_stand,food_stand,,,TRUE,food_truck_stand
food_and_drink,2,TRUE,food_and_drink > casual_eatery > food_truck_stand,food_truck_stand,Food Truck or Stand,food_truck_stand,food_and_drink > casual_eatery > food_truck,food_truck,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > friterie,friterie,Friterie,casual_eatery,food_and_drink > casual_eatery > friterie,friterie,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > gastropub,gastropub,Gastropub,casual_eatery,food_and_drink > casual_eatery > gastropub,gastropub,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > popcorn_shop,popcorn_shop,Popcorn Shop,casual_eatery,food_and_drink > casual_eatery > popcorn_shop,popcorn_shop,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > sandwich_shop,sandwich_shop,Sandwich Shop,casual_eatery,food_and_drink > casual_eatery > sandwich_shop,sandwich_shop,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > sugar_shack,sugar_shack,Sugar Shack,casual_eatery,food_and_drink > casual_eatery > sugar_shack,sugar_shack,,,,
food_and_drink,2,FALSE,food_and_drink > casual_eatery > tapas_bar,tapas_bar,Tapas Bar,casual_eatery,food_and_drink > casual_eatery > tapas_bar,tapas_bar,,,,
food_and_drink,1,TRUE,food_and_drink > non_alcoholic_beverage_venue,non_alcoholic_beverage_venue,Non-Alcoholic Beverage Venue,non_alcoholic_beverage_venue,food_and_drink > beverage_shop,beverage_shop,,,,
food_and_drink,2,FALSE,food_and_drink > non_alcoholic_beverage_venue > bubble_tea_shop,bubble_tea_shop,Bubble Tea Shop,non_alcoholic_beverage_venue,food_and_drink > beverage_shop > bubble_tea_shop,bubble_tea_shop,,,,
food_and_drink,2,TRUE,food_and_drink > non_alcoholic_beverage_venue > coffee_shop,coffee_shop,Coffee Shop,coffee_shop,food_and_drink > beverage_shop > coffee_shop,coffee_shop,,,,
food_and_drink,3,FALSE,food_and_drink > non_alcoholic_beverage_venue > coffee_shop > coffee_roastery,coffee_roastery,Coffee Roastery,coffee_shop,food_and_drink > beverage_shop > coffee_roastery,coffee_roastery,,,,
food_and_drink,2,FALSE,food_and_drink > non_alcoholic_beverage_venue > kombucha_bar,kombucha_bar,Kombucha Bar,non_alcoholic_beverage_venue,food_and_drink > beverage_shop > kombucha_bar,kombucha_bar,,,,
food_and_drink,2,FALSE,food_and_drink > non_alcoholic_beverage_venue > milk_bar,milk_bar,Milk Bar,non_alcoholic_beverage_venue,food_and_drink > beverage_shop > milk_bar,milk_bar,,,,
food_and_drink,2,FALSE,food_and_drink > non_alcoholic_beverage_venue > milkshake_bar,milkshake_bar,Milkshake Bar,non_alcoholic_beverage_venue,food_and_drink > beverage_shop > milkshake_bar,milkshake_bar,,,,
food_and_drink,2,TRUE,food_and_drink > non_alcoholic_beverage_venue > smoothie_juice_bar,smoothie_juice_bar,Smoothie or Juice Bar,smoothie_juice_bar,food_and_drink > beverage_shop > smoothie_juice_bar,smoothie_juice_bar,,,,
food_and_drink,2,FALSE,food_and_drink > non_alcoholic_beverage_venue > tea_room,tea_room,Tea Room,non_alcoholic_beverage_venue,food_and_drink > beverage_shop > tea_room,tea_room,,,,
food_and_drink,1,TRUE,food_and_drink > restaurant,restaurant,Restaurant,restaurant,food_and_drink > restaurant,restaurant,,,,
food_and_drink,2,FALSE,food_and_drink > restaurant > african_restaurant,african_restaurant,African Restaurant,restaurant,food_and_drink > restaurant > african_restaurant,african_restaurant,,,,
food_and_drink,3,FALSE,food_and_drink > restaurant > african_restaurant > east_african_restaurant,east_african_restaurant,East African Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant,east_african_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > east_african_restaurant > eritrean_restaurant,eritrean_restaurant,Eritrean Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant > eritrean_restaurant,eritrean_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > east_african_restaurant > ethiopian_restaurant,ethiopian_restaurant,Ethiopian Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant > ethiopian_restaurant,ethiopian_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > east_african_restaurant > somalian_restaurant,somalian_restaurant,Somalian Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant > somalian_restaurant,somalian_restaurant,,,,
food_and_drink,3,FALSE,food_and_drink > restaurant > african_restaurant > north_african_restaurant,north_african_restaurant,North African Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant,north_african_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > north_african_restaurant > algerian_restaurant,algerian_restaurant,Algerian Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant > algerian_restaurant,algerian_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > north_african_restaurant > egyptian_restaurant,egyptian_restaurant,Egyptian Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant > egyptian_restaurant,egyptian_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > north_african_restaurant > moroccan_restaurant,moroccan_restaurant,Moroccan Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant > moroccan_restaurant,moroccan_restaurant,,,,
food_and_drink,3,FALSE,food_and_drink > restaurant > african_restaurant > southern_african_restaurant,southern_african_restaurant,Southern African Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > southern_african_restaurant,southern_african_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > southern_african_restaurant > south_african_restaurant,south_african_restaurant,South African Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > southern_african_restaurant > south_african_restaurant,south_african_restaurant,,,,
food_and_drink,3,FALSE,food_and_drink > restaurant > african_restaurant > west_african_restaurant,west_african_restaurant,West African Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant,west_african_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > west_african_restaurant > ghanaian_restaurant,ghanaian_restaurant,Ghanaian Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant > ghanaian_restaurant,ghanaian_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > west_african_restaurant > nigerian_restaurant,nigerian_restaurant,Nigerian Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant > nigerian_restaurant,nigerian_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > african_restaurant > west_african_restaurant > senegalese_restaurant,senegalese_restaurant,Senegalese Restaurant,restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant > senegalese_restaurant,senegalese_restaurant,,,,
food_and_drink,2,FALSE,food_and_drink > restaurant > asian_restaurant,asian_restaurant,Asian Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant,asian_restaurant,,,,
food_and_drink,3,FALSE,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant,central_asian_restaurant,Central Asian Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant,central_asian_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > afghani_restaurant,afghani_restaurant,Afghani Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > afghani_restaurant,afghani_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > kazakhstani_restaurant,kazakhstani_restaurant,Kazakhstani Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > kazakhstani_restaurant,kazakhstani_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > uzbek_restaurant,uzbek_restaurant,Uzbek Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > uzbek_restaurant,uzbek_restaurant,,,,
food_and_drink,3,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant,east_asian_restaurant,East Asian Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant,east_asian_restaurant,,,,
food_and_drink,4,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant,chinese_restaurant,Chinese Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant,chinese_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > baozi_restaurant,baozi_restaurant,Baozi Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > baozi_restaurant,baozi_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > beijing_restaurant,beijing_restaurant,Beijing Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > beijing_restaurant,beijing_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > cantonese_restaurant,cantonese_restaurant,Cantonese Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > cantonese_restaurant,cantonese_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > dim_sum_restaurant,dim_sum_restaurant,Dim Sum Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > dim_sum_restaurant,dim_sum_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > dongbei_restaurant,dongbei_restaurant,Dongbei Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > dongbei_restaurant,dongbei_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > fujian_restaurant,fujian_restaurant,Fujian Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > fujian_restaurant,fujian_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > hunan_restaurant,hunan_restaurant,Hunan Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > hunan_restaurant,hunan_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > indo_chinese_restaurant,indo_chinese_restaurant,Indo Chinese Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > indo_chinese_restaurant,indo_chinese_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > jiangsu_restaurant,jiangsu_restaurant,Jiangsu Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > jiangsu_restaurant,jiangsu_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > shandong_restaurant,shandong_restaurant,Shandong Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > shandong_restaurant,shandong_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > shanghainese_restaurant,shanghainese_restaurant,Shanghainese Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > shanghainese_restaurant,shanghainese_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > sichuan_restaurant,sichuan_restaurant,Sichuan Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > sichuan_restaurant,sichuan_restaurant,,,,
food_and_drink,5,FALSE,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > xinjiang_restaurant,xinjiang_restaurant,Xinjiang Restaurant,restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > xinjiang_restaurant,xinjiang_restaurant,,,,
