New Primary Category,New Primary Hierarchy,Basic Level Category,Old Primary Category,Old Primary Hierarchy
hookah_bar,food_and_drink > bar > hookah_bar,bar,hookah_bar,eat_and_drink > bar > hookah_bar
hotel_bar,food_and_drink > bar > hotel_bar,bar,hotel_bar,eat_and_drink > bar > hotel_bar
piano_bar,food_and_drink > bar > piano_bar,bar,piano_bar,eat_and_drink > bar > piano_bar
pub,food_and_drink > bar > pub,pub,pub,eat_and_drink > bar > pub
irish_pub,food_and_drink > bar > pub > irish_pub,pub,irish_pub,eat_and_drink > bar > irish_pub
sake_bar,food_and_drink > bar > sake_bar,bar,sake_bar,eat_and_drink > bar > sake_bar
speakeasy,food_and_drink > bar > speakeasy,bar,speakeasy,eat_and_drink > bar > speakeasy
sports_bar,food_and_drink > bar > sports_bar,bar,sports_bar,eat_and_drink > bar > sports_bar
tiki_bar,food_and_drink > bar > tiki_bar,bar,tiki_bar,eat_and_drink > bar > tiki_bar
vermouth_bar,food_and_drink > bar > vermouth_bar,bar,vermouth_bar,eat_and_drink > bar > vermouth_bar
whiskey_bar,food_and_drink > bar > whiskey_bar,bar,whiskey_bar,eat_and_drink > bar > whiskey_bar
wine_bar,food_and_drink > bar > wine_bar,bar,wine_bar,eat_and_drink > bar > wine_bar
beverage_shop,food_and_drink > beverage_shop,beverage_shop,beverage_store,retail > beverage_store
bubble_tea_shop,food_and_drink > beverage_shop > bubble_tea_shop,beverage_shop,bubble_tea,eat_and_drink > bar > bubble_tea
coffee_roastery,food_and_drink > beverage_shop > coffee_roastery,beverage_shop,coffee_roastery,eat_and_drink > cafe > coffee_roastery
coffee_shop,food_and_drink > beverage_shop > coffee_shop,coffee_shop,coffee_shop,eat_and_drink > cafe > coffee_shop
kombucha_bar,food_and_drink > beverage_shop > kombucha_bar,beverage_shop,kombucha,eat_and_drink > bar > kombucha
milk_bar,food_and_drink > beverage_shop > milk_bar,beverage_shop,milk_bar,eat_and_drink > bar > milk_bar
milkshake_bar,food_and_drink > beverage_shop > milkshake_bar,beverage_shop,milkshake_bar,eat_and_drink > bar > milkshake_bar
smoothie_juice_bar,food_and_drink > beverage_shop > smoothie_juice_bar,juice_bar,smoothie_juice_bar,eat_and_drink > bar > smoothie_juice_bar
tea_room,food_and_drink > beverage_shop > tea_room,beverage_shop,tea_room,eat_and_drink > cafe > tea_room
brewery_winery_distillery,food_and_drink > brewery_winery_distillery,eating_drinking_location,,
beer_garden,food_and_drink > brewery_winery_distillery > beer_garden,eating_drinking_location,beer_garden,eat_and_drink > bar > beer_garden
brewery,food_and_drink > brewery_winery_distillery > brewery,brewery,brewery,eat_and_drink > bar > brewery
cidery,food_and_drink > brewery_winery_distillery > cidery,eating_drinking_location,cidery,eat_and_drink > bar > cidery
distillery,food_and_drink > brewery_winery_distillery > distillery,eating_drinking_location,distillery,retail > distillery
winery,food_and_drink > brewery_winery_distillery > winery,winery,winery,retail > food > winery
wine_tasting_room,food_and_drink > brewery_winery_distillery > winery > wine_tasting_room,winery,wine_tasting_room,retail > food > winery > wine_tasting_room
casual_eatery,food_and_drink > casual_eatery,casual_eatery,,
bagel_shop,food_and_drink > casual_eatery > bagel_shop,casual_eatery,bagel_shop,retail > food > bagel_shop
bagel_shop,food_and_drink > casual_eatery > bagel_shop,casual_eatery,bagel_restaurant,eat_and_drink > restaurant > breakfast_and_brunch_restaurant > bagel_restaurant
bakery,food_and_drink > casual_eatery > bakery,bakery,bakery,retail > food > bakery
baguette_shop,food_and_drink > casual_eatery > bakery > baguette_shop,bakery,baguettes,eat_and_drink > restaurant > breakfast_and_brunch_restaurant > baguettes
flatbread_shop,food_and_drink > casual_eatery > bakery > flatbread_shop,bakery,flatbread,retail > food > bakery > flatbread
flatbread_shop,food_and_drink > casual_eatery > bakery > flatbread_shop,bakery,flatbread_restaurant,eat_and_drink > restaurant > flatbread_restaurant
macaron_shop,food_and_drink > casual_eatery > bakery > macaron_shop,bakery,macarons,retail > food > specialty_foods > macarons
pretzel_shop,food_and_drink > casual_eatery > bakery > pretzel_shop,bakery,pretzels,retail > food > pretzels
bistro,food_and_drink > casual_eatery > bistro,casual_eatery,bistro,eat_and_drink > restaurant > bistro
cafe,food_and_drink > casual_eatery > cafe,cafe,cafe,eat_and_drink > cafe
animal_cafe,food_and_drink > casual_eatery > cafe > animal_cafe,cafe,,
cat_cafe,food_and_drink > casual_eatery > cafe > animal_cafe > cat_cafe,cafe,,
dog_cafe,food_and_drink > casual_eatery > cafe > animal_cafe > dog_cafe,cafe,,
hong_kong_style_cafe,food_and_drink > casual_eatery > cafe > hong_kong_style_cafe,cafe,hong_kong_style_cafe,eat_and_drink > restaurant > asian_restaurant > hong_kong_style_cafe
internet_cafe,food_and_drink > casual_eatery > cafe > internet_cafe,cafe,internet_cafe,arts_and_entertainment > internet_cafe
candy_store,food_and_drink > casual_eatery > candy_store,candy_shop,candy_store,retail > food > candy_store
chocolatier,food_and_drink > casual_eatery > candy_store > chocolatier,candy_shop,chocolatier,retail > food > chocolatier
indian_sweets_shop,food_and_drink > casual_eatery > candy_store > indian_sweets_shop,candy_shop,indian_sweets_shop,retail > food > specialty_foods > indian_sweets_shop
japanese_confectionery_shop,food_and_drink > casual_eatery > candy_store > japanese_confectionery_shop,candy_shop,japanese_confectionery_shop,retail > food > candy_store > japanese_confectionery_shop
canteen,food_and_drink > casual_eatery > canteen,casual_eatery,canteen,eat_and_drink > restaurant > canteen
delicatessen,food_and_drink > casual_eatery > delicatessen,deli,delicatessen,retail > food > specialty_foods > delicatessen
dessert_shop,food_and_drink > casual_eatery > dessert_shop,casual_eatery,desserts,retail > food > desserts
cupcake_shop,food_and_drink > casual_eatery > dessert_shop > cupcake_shop,casual_eatery,cupcake_shop,retail > food > patisserie_cake_shop > cupcake_shop
donut_shop,food_and_drink > casual_eatery > dessert_shop > donut_shop,casual_eatery,donuts,retail > food > donuts
frozen_yogurt_shop,food_and_drink > casual_eatery > dessert_shop > frozen_yogurt_shop,casual_eatery,frozen_yoghurt_shop,retail > food > ice_cream_and_frozen_yoghurt > frozen_yoghurt_shop
gelato,food_and_drink > casual_eatery > dessert_shop > gelato_shop,casual_eatery,gelato,retail > food > ice_cream_and_frozen_yoghurt > gelato
ice_cream_shop,food_and_drink > casual_eatery > dessert_shop > ice_cream_shop,casual_eatery,ice_cream_shop,retail > food > ice_cream_and_frozen_yoghurt > ice_cream_shop
ice_cream_shop,food_and_drink > casual_eatery > dessert_shop > ice_cream_shop,casual_eatery,ice_cream_and_frozen_yoghurt,retail > food > ice_cream_and_frozen_yoghurt
pie_shop,food_and_drink > casual_eatery > dessert_shop > pie_shop,casual_eatery,pie_shop,retail > food > pie_shop
shaved_ice_shop,food_and_drink > casual_eatery > dessert_shop > shaved_ice_shop,casual_eatery,shaved_ice_shop,retail > food > ice_cream_and_frozen_yoghurt > shaved_ice_shop
shaved_ice_shop,food_and_drink > casual_eatery > dessert_shop > shaved_ice_shop,casual_eatery,shaved_snow_shop,retail > food > ice_cream_and_frozen_yoghurt > shaved_snow_shop
diner,food_and_drink > casual_eatery > diner,casual_eatery,diner,eat_and_drink > restaurant > diner
fast_food_restaurant,food_and_drink > casual_eatery > fast_food_restaurant,fast_food_restaurant,fast_food_restaurant,eat_and_drink > restaurant > fast_food_restaurant
fondue_restaurant,food_and_drink > casual_eatery > fondue_restaurant,casual_eatery,fondue_restaurant,eat_and_drink > restaurant > fondue_restaurant
food_court,food_and_drink > casual_eatery > food_court,food_court,food_court,eat_and_drink > restaurant > food_court
food_stand,food_and_drink > casual_eatery > food_stand,casual_eatery,food_stand,retail > food > food_stand
food_truck,food_and_drink > casual_eatery > food_truck,casual_eatery,food_truck,retail > food > food_truck
friterie,food_and_drink > casual_eatery > friterie,casual_eatery,friterie,retail > food > friterie
gastropub,food_and_drink > casual_eatery > gastropub,casual_eatery,gastropub,eat_and_drink > restaurant > gastropub
popcorn_shop,food_and_drink > casual_eatery > popcorn_shop,food_or_beverage_store,popcorn_shop,retail > popcorn_shop
sandwich_shop,food_and_drink > casual_eatery > sandwich_shop,sandwich_shop,sandwich_shop,retail > food > sandwich_shop
street_vendor,food_and_drink > casual_eatery > street_vendor,casual_eatery,street_vendor,retail > food > street_vendor
sugar_shack,food_and_drink > casual_eatery > sugar_shack,casual_eatery,sugar_shack,eat_and_drink > bar > sugar_shack
tapas_bar,food_and_drink > casual_eatery > tapas_bar,casual_eatery,tapas_bar,eat_and_drink > restaurant > tapas_bar
lounge,food_and_drink > lounge,eating_drinking_location,lounge,eat_and_drink > bar > lounge
airport_lounge,food_and_drink > lounge > airport_lounge,eating_drinking_location,airport_lounge,eat_and_drink > bar > airport_lounge
restaurant,food_and_drink > restaurant,restaurant,restaurant,eat_and_drink > restaurant
restaurant,food_and_drink > restaurant,restaurant,pigs_trotters_restaurant,eat_and_drink > restaurant > pigs_trotters_restaurant
restaurant,food_and_drink > restaurant,restaurant,potato_restaurant,eat_and_drink > restaurant > potato_restaurant
african_restaurant,food_and_drink > restaurant > african_restaurant,restaurant,african_restaurant,eat_and_drink > restaurant > african_restaurant
east_african_restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant,restaurant,,
eritrean_restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant > eritrean_restaurant,restaurant,,
ethiopian_restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant > ethiopian_restaurant,restaurant,ethiopian_restaurant,eat_and_drink > restaurant > african_restaurant > ethiopian_restaurant
somalian_restaurant,food_and_drink > restaurant > african_restaurant > east_african_restaurant > somalian_restaurant,restaurant,,
north_african_restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant,restaurant,,
algerian_restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant > algerian_restaurant,restaurant,,
egyptian_restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant > egyptian_restaurant,restaurant,egyptian_restaurant,eat_and_drink > restaurant > middle_eastern_restaurant > egyptian_restaurant
moroccan_restaurant,food_and_drink > restaurant > african_restaurant > north_african_restaurant > moroccan_restaurant,restaurant,moroccan_restaurant,eat_and_drink > restaurant > african_restaurant > moroccan_restaurant
southern_african_restaurant,food_and_drink > restaurant > african_restaurant > southern_african_restaurant,restaurant,,
south_african_restaurant,food_and_drink > restaurant > african_restaurant > southern_african_restaurant > south_african_restaurant,restaurant,south_african_restaurant,eat_and_drink > restaurant > african_restaurant > south_african_restaurant
west_african_restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant,restaurant,,
ghanaian_restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant > ghanaian_restaurant,restaurant,,
nigerian_restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant > nigerian_restaurant,restaurant,nigerian_restaurant,eat_and_drink > restaurant > african_restaurant > nigerian_restaurant
senegalese_restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant > senegalese_restaurant,restaurant,senegalese_restaurant,eat_and_drink > restaurant > african_restaurant > senegalese_restaurant
asian_restaurant,food_and_drink > restaurant > asian_restaurant,restaurant,asian_restaurant,eat_and_drink > restaurant > asian_restaurant
asian_restaurant,food_and_drink > restaurant > asian_restaurant,restaurant,oriental_restaurant,eat_and_drink > restaurant > oriental_restaurant
central_asian_restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant,restaurant,,
afghani_restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > afghani_restaurant,restaurant,afghan_restaurant,eat_and_drink > restaurant > afghan_restaurant
kazakhstani_restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > kazakhstani_restaurant,restaurant,,
uzbek_restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > uzbek_restaurant,restaurant,uzbek_restaurant,eat_and_drink > restaurant > uzbek_restaurant
east_asian_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant,restaurant,,
chinese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant,restaurant,chinese_restaurant,eat_and_drink > restaurant > asian_restaurant > chinese_restaurant
baozi_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > baozi_restaurant,restaurant,baozi_restaurant,eat_and_drink > restaurant > baozi_restaurant
beijing_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > beijing_restaurant,restaurant,,
cantonese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > cantonese_restaurant,restaurant,,
dim_sum_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > dim_sum_restaurant,restaurant,dim_sum_restaurant,eat_and_drink > restaurant > asian_restaurant > dim_sum_restaurant
dongbei_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > dongbei_restaurant,restaurant,,
fujian_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > fujian_restaurant,restaurant,,
hunan_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > hunan_restaurant,restaurant,,
indo_chinese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > indo_chinese_restaurant,restaurant,indo_chinese_restaurant,eat_and_drink > restaurant > asian_restaurant > indo_chinese_restaurant
jiangsu_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > jiangsu_restaurant,restaurant,,
shandong_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > shandong_restaurant,restaurant,,
shanghainese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > shanghainese_restaurant,restaurant,,
sichuan_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > sichuan_restaurant,restaurant,,
xinjiang_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > xinjiang_restaurant,restaurant,,
japanese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > japanese_restaurant,restaurant,japanese_restaurant,eat_and_drink > restaurant > asian_restaurant > japanese_restaurant
sushi_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > japanese_restaurant > sushi_restaurant,restaurant,sushi_restaurant,eat_and_drink > restaurant > asian_restaurant > sushi_restaurant
korean_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > korean_restaurant,restaurant,korean_restaurant,eat_and_drink > restaurant > asian_restaurant > korean_restaurant
mongolian_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > mongolian_restaurant,restaurant,mongolian_restaurant,eat_and_drink > restaurant > asian_restaurant > mongolian_restaurant
taiwanese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > taiwanese_restaurant,restaurant,taiwanese_restaurant,eat_and_drink > restaurant > asian_restaurant > taiwanese_restaurant
ramen_restaurant,food_and_drink > restaurant > asian_restaurant > ramen_restaurant,restaurant,noodles_restaurant,eat_and_drink > restaurant > asian_restaurant > noodles_restaurant
south_asian_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant,restaurant,,
bangladeshi_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > bangladeshi_restaurant,restaurant,bangladeshi_restaurant,eat_and_drink > restaurant > bangladeshi_restaurant
himalayan_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > himalayan_restaurant,restaurant,,
himalayan_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > himalayan_restaurant,restaurant,himalayan_nepalese_restaurant,eat_and_drink > restaurant > himalayan_nepalese_restaurant
nepalese_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > himalayan_restaurant > nepalese_restaurant,restaurant,,
indian_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant,restaurant,indian_restaurant,eat_and_drink > restaurant > indian_restaurant
bengali_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > bengali_restaurant,restaurant,,
chettinad_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > chettinad_restaurant,restaurant,,
gujarati_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > gujarati_restaurant,restaurant,,
hyderabadi_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > hyderabadi_restaurant,restaurant,,
north_indian_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > north_indian_restaurant,restaurant,,
punjabi_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > punjabi_restaurant,restaurant,,
rajasthani_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > rajasthani_restaurant,restaurant,,
south_indian_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant > south_indian_restaurant,restaurant,,
pakistani_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > pakistani_restaurant,restaurant,pakistani_restaurant,eat_and_drink > restaurant > pakistani_restaurant
sri_lankan_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > sri_lankan_restaurant,restaurant,sri_lankan_restaurant,eat_and_drink > restaurant > sri_lankan_restaurant
tibetan_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > tibetan_restaurant,restaurant,,
southeast_asian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant,restaurant,,
burmese_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > burmese_restaurant,restaurant,burmese_restaurant,eat_and_drink > restaurant > asian_restaurant > burmese_restaurant
cambodian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > cambodian_restaurant,restaurant,cambodian_restaurant,eat_and_drink > restaurant > asian_restaurant > cambodian_restaurant
filipino_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > filipino_restaurant,restaurant,filipino_restaurant,eat_and_drink > restaurant > asian_restaurant > filipino_restaurant
indonesian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > indonesian_restaurant,restaurant,indonesian_restaurant,eat_and_drink > restaurant > asian_restaurant > indonesian_restaurant
sundanese_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > indonesian_restaurant > sundanese_restaurant,restaurant,,
laotian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > laotian_restaurant,restaurant,laotian_restaurant,eat_and_drink > restaurant > asian_restaurant > laotian_restaurant
malaysian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > malaysian_restaurant,restaurant,malaysian_restaurant,eat_and_drink > restaurant > asian_restaurant > malaysian_restaurant
nasi_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > nasi_restaurant,restaurant,nasi_restaurant,eat_and_drink > restaurant > nasi_restaurant
singaporean_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > singaporean_restaurant,restaurant,singaporean_restaurant,eat_and_drink > restaurant > asian_restaurant > singaporean_restaurant
thai_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > thai_restaurant,restaurant,thai_restaurant,eat_and_drink > restaurant > asian_restaurant > thai_restaurant
vietnamese_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > vietnamese_restaurant,restaurant,vietnamese_restaurant,eat_and_drink > restaurant > asian_restaurant > vietnamese_restaurant
wok_restaurant,food_and_drink > restaurant > asian_restaurant > wok_restaurant,restaurant,wok_restaurant,eat_and_drink > restaurant > wok_restaurant
bar_and_grill_restaurant,food_and_drink > restaurant > bar_and_grill_restaurant,bar_and_grill,bar_and_grill_restaurant,eat_and_drink > restaurant > bar_and_grill_restaurant
breakfast_and_brunch_restaurant,food_and_drink > restaurant > breakfast_and_brunch_restaurant,breakfast_restaurant,breakfast_and_brunch_restaurant,eat_and_drink > restaurant > breakfast_and_brunch_restaurant
pancake_house,food_and_drink > restaurant > breakfast_and_brunch_restaurant > pancake_house,restaurant,pancake_house,eat_and_drink > restaurant > breakfast_and_brunch_restaurant > pancake_house
waffle_restaurant,food_and_drink > restaurant > breakfast_and_brunch_restaurant > waffle_restaurant,restaurant,waffle_restaurant,eat_and_drink > restaurant > waffle_restaurant
buffet_restaurant,food_and_drink > restaurant > buffet_restaurant,buffet_restaurant,buffet_restaurant,eat_and_drink > restaurant > buffet_restaurant
cafeteria,food_and_drink > restaurant > cafeteria,restaurant,cafeteria,eat_and_drink > restaurant > cafeteria
comfort_food_restaurant,food_and_drink > restaurant > comfort_food_restaurant,restaurant,comfort_food_restaurant,eat_and_drink > restaurant > comfort_food_restaurant
diy_foods_restaurant,food_and_drink > restaurant > diy_foods_restaurant,restaurant,diy_foods_restaurant,eat_and_drink > restaurant > diy_foods_restaurant
dumpling_restaurant,food_and_drink > restaurant > dumpling_restaurant,restaurant,dumpling_restaurant,eat_and_drink > restaurant > dumpling_restaurant
european_restaurant,food_and_drink > restaurant > european_restaurant,restaurant,european_restaurant,eat_and_drink > restaurant > european_restaurant
central_european_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant,restaurant,,
austrian_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > austrian_restaurant,restaurant,austrian_restaurant,eat_and_drink > restaurant > austrian_restaurant
czech_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > czech_restaurant,restaurant,czech_restaurant,eat_and_drink > restaurant > czech_restaurant
german_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > german_restaurant,restaurant,german_restaurant,eat_and_drink > restaurant > german_restaurant
fischbrotchen_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > german_restaurant > fischbrotchen_restaurant,restaurant,fischbrotchen_restaurant,eat_and_drink > restaurant > fischbrotchen_restaurant
hungarian_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > hungarian_restaurant,restaurant,hungarian_restaurant,eat_and_drink > restaurant > hungarian_restaurant
polish_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > polish_restaurant,restaurant,polish_restaurant,eat_and_drink > restaurant > polish_restaurant
schnitzel_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > schnitzel_restaurant,restaurant,schnitzel_restaurant,eat_and_drink > restaurant > schnitzel_restaurant
slovakian_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > slovakian_restaurant,restaurant,slovakian_restaurant,eat_and_drink > restaurant > slovakian_restaurant
swiss_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > swiss_restaurant,restaurant,swiss_restaurant,eat_and_drink > restaurant > swiss_restaurant
eastern_european_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant,restaurant,eastern_european_restaurant,eat_and_drink > restaurant > eastern_european_restaurant
belarusian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > belarusian_restaurant,restaurant,belarusian_restaurant,eat_and_drink > restaurant > eastern_european_restaurant > belarusian_restaurant
bulgarian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > bulgarian_restaurant,restaurant,bulgarian_restaurant,eat_and_drink > restaurant > eastern_european_restaurant > bulgarian_restaurant
lithuanian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > lithuanian_restaurant,restaurant,,
romanian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > romanian_restaurant,restaurant,romanian_restaurant,eat_and_drink > restaurant > eastern_european_restaurant > romanian_restaurant
russian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > russian_restaurant,restaurant,russian_restaurant,eat_and_drink > restaurant > russian_restaurant
tatar_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > russian_restaurant > tatar_restaurant,restaurant,tatar_restaurant,eat_and_drink > restaurant > eastern_european_restaurant > tatar_restaurant
serbo_croatian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > serbo_croatian_restaurant,restaurant,serbo_croatian_restaurant,eat_and_drink > restaurant > serbo_croatian_restaurant
ukrainian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > ukrainian_restaurant,restaurant,ukrainian_restaurant,eat_and_drink > restaurant > eastern_european_restaurant > ukrainian_restaurant
iberian_restaurant,food_and_drink > restaurant > european_restaurant > iberian_restaurant,restaurant,iberian_restaurant,eat_and_drink > restaurant > iberian_restaurant
portuguese_restaurant,food_and_drink > restaurant > european_restaurant > iberian_restaurant > portuguese_restaurant,restaurant,portuguese_restaurant,eat_and_drink > restaurant > portuguese_restaurant
spanish_restaurant,food_and_drink > restaurant > european_restaurant > iberian_restaurant > spanish_restaurant,restaurant,spanish_restaurant,eat_and_drink > restaurant > spanish_restaurant
basque_restaurant,food_and_drink > restaurant > european_restaurant > iberian_restaurant > spanish_restaurant > basque_restaurant,restaurant,basque_restaurant,eat_and_drink > restaurant > basque_restaurant
catalan_restaurant,food_and_drink > restaurant > european_restaurant > iberian_restaurant > spanish_restaurant > catalan_restaurant,restaurant,catalan_restaurant,eat_and_drink > restaurant > catalan_restaurant
mediterranean_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant,restaurant,mediterranean_restaurant,eat_and_drink > restaurant > mediterranean_restaurant
greek_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant > greek_restaurant,restaurant,greek_restaurant,eat_and_drink > restaurant > mediterranean_restaurant > greek_restaurant
italian_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant > italian_restaurant,restaurant,italian_restaurant,eat_and_drink > restaurant > italian_restaurant
piadina_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant > italian_restaurant > piadina_restaurant,restaurant,piadina_restaurant,eat_and_drink > restaurant > piadina_restaurant
pizza_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant > italian_restaurant > pizza_restaurant,pizzaria,pizza_restaurant,eat_and_drink > restaurant > pizza_restaurant
maltese_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant > maltese_restaurant,restaurant,,
scandinavian_restaurant,food_and_drink > restaurant > european_restaurant > scandinavian_restaurant,restaurant,scandinavian_restaurant,eat_and_drink > restaurant > scandinavian_restaurant
danish_restaurant,food_and_drink > restaurant > european_restaurant > scandinavian_restaurant > danish_restaurant,restaurant,danish_restaurant,eat_and_drink > restaurant > scandinavian_restaurant > danish_restaurant
finnish_restaurant,food_and_drink > restaurant > european_restaurant > scandinavian_restaurant > finnish_restaurant,restaurant,,
icelandic_restaurant,food_and_drink > restaurant > european_restaurant > scandinavian_restaurant > icelandic_restaurant,restaurant,,
norwegian_restaurant,food_and_drink > restaurant > european_restaurant > scandinavian_restaurant > norwegian_restaurant,restaurant,norwegian_restaurant,eat_and_drink > restaurant > scandinavian_restaurant > norwegian_restaurant
swedish_restaurant,food_and_drink > restaurant > european_restaurant > scandinavian_restaurant > swedish_restaurant,restaurant,,
western_european_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant,restaurant,,
belgian_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant > belgian_restaurant,restaurant,belgian_restaurant,eat_and_drink > restaurant > belgian_restaurant
british_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant > british_restaurant,restaurant,british_restaurant,eat_and_drink > restaurant > british_restaurant
dutch_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant > dutch_restaurant,restaurant,,
